Symbol,Name,Industry,IndustryCode
AMYT,Amryt Pharma PLC ADR,제약,562010
POWW,Ammo Inc,우주항공 및 국방,521010
ETAC,E.Merge Technology Acquisition Corp Class A,기타 금융업,556010
TCMD,Tactile Systems Technology Inc,헬스케어 장비 및 용품,561010
FFIC,Flushing Financial Corp,은행,551010
LMACA,Liberty Media Acquisition Corp Series A,기타 금융업,556010
CONN,Conn's Inc,전문품 상점,534030
CLSK,CleanSpark Inc,재생에너지,502010
AGC,Altimeter Growth Corp Class A,기타 금융업,556010
CAC,Camden National Corp,은행,551010
LOOP,Loop Industries Inc,화학,511010
ONEW,OneWater Marine Inc Class A,레저 상품,532050
KELYA,Kelly Services Inc Class A,전문 및 상업 서비스,522030
TNT,Peak Fintech Group Inc,핀테크,573010
TRDA,Entrada Therapeutics Inc,생명과학 및 메디컬 리서치,562020
INSG,Inseego Corp,커뮤니케이션 및 네트워킹,571020
BTWN,Bridgetown Holdings Ltd Class A,기타 금융업,556010
SBNYP,Signature Bank ADR,은행,551010
INDT,Indus Realty Trust Inc,주택 및 상업용 리츠,601020
HTBK,Heritage Commerce Corp,은행,551010
KE,Kimball Electronics Inc,반도체 및 반도체 장비,571010
HIII,Hudson Executive Investment Corp III Class A,기타 금융업,556010
FOSL,Fossil Group Inc,섬유 및 의류,532020
HAFC,Hanmi Financial Corp,은행,551010
IIIV,I3 Verticals Inc Class A,전문 및 상업 서비스,522030
CBTX,CBTX Inc,은행,551010
CENT,Central Garden & Pet Co,식품 및 담배,541020
GRTS,Gritstone bio Inc,제약,562010
PETQ,PetIQ Inc Class A,제약,562010
TMC,TMC the metals company Inc,메탈&마이닝,512010
ALGS,Aligos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
DSP,Viant Technology Inc Class A,소프트웨어 및 IT서비스,572010
NEWT,Newtek Business Services Corp,은행,551010
OPRT,Oportun Financial Corp,은행,551010
KDNY,Chinook Therapeutics Inc,생명과학 및 메디컬 리서치,562020
OFIX,Orthofix Medical Inc,헬스케어 장비 및 용품,561010
CMTL,Comtech Telecommunications Corp,커뮤니케이션 및 네트워킹,571020
MSDA,MSD Acquisition Corp Class A,기타 금융업,556010
GRVY,Gravity Co Ltd ADR,소프트웨어 및 IT서비스,572010
RDBX,Redbox Entertainment Inc Class A,미디어 및 출판,533020
VINP,Vinci Partners Investments Ltd Class A,투자은행 및 서비스,551020
AMTX,Aemetis Inc,재생에너지,502010
SCOA,Scion Tech Growth I Class A,기타 금융업,556010
FANH,Fanhua Inc ADR,보험,553010
MRSN,Mersana Therapeutics Inc,생명과학 및 메디컬 리서치,562020
LGAC,Lazard Growth Acquisition Corp I,기타 금융업,556010
BLDE,Blade Air Mobility Inc Class A,소프트웨어 및 IT서비스,572010
SLAM,Slam Corp Class A,기타 금융업,556010
PHAT,Phathom Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
LXRX,Lexicon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
RYTM,Rhythm Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
GRPH,Graphite Bio Inc,생명과학 및 메디컬 리서치,562020
TITN,Titan Machinery Inc,"건설장비 및 대형차, 기차, 배",521020
DHIL,Diamond Hill Investment Group Inc Class A,투자은행 및 서비스,551020
RUTH,Ruth's Hospitality Group Inc,호텔 및 엔터테인먼트,533010
OSUR,OraSure Technologies Inc,헬스케어 장비 및 용품,561010
ARBE,Arbe Robotics Ltd,우주항공 및 국방,521010
NAUT,Nautilus Biotechnology Inc,생명과학 및 메디컬 리서치,562020
ATNI,ATN International Inc,통신 서비스,574010
PLSE,Pulse Biosciences Inc,헬스케어 장비 및 용품,561010
SGOC,SGOCO Group Ltd,은행,551010
CRAI,CRA International Inc,전문 및 상업 서비스,522030
RUSHB,Rush Enterprises Inc Class B,전문품 상점,534030
CMLT,CM Life Sciences III Inc Class A,기타 금융업,556010
CHUY,Chuy's Holdings Inc,호텔 및 엔터테인먼트,533010
MERC,Mercer International Inc,종이 및 임산물,513010
SLN,Silence Therapeutics PLC ADR,생명과학 및 메디컬 리서치,562020
AEHR,Aehr Test Systems,반도체 및 반도체 장비,571010
OGI,OrganiGram Holdings Inc,헬스케어 업체 및 서비스,561020
DMLP,Dorchester Minerals LP Unit,오일 및 가스,501020
METC,Ramaco Resources Inc,메탈&마이닝,512010
DXPE,DXP Enterprises Inc,"건설장비 및 대형차, 기차, 배",521020
EGRX,Eagle Pharmaceuticals Inc,제약,562010
GSEV,Gores Holdings VII Inc Class A,기타 금융업,556010
BGFV,Big 5 Sporting Goods Corp,전문품 상점,534030
TRNS,Transcat Inc,전문 및 상업 서비스,522030
VERU,Veru Inc,"개인, 가정 용품 및 서비스",542010
PNTG,Pennant Group Inc,헬스케어 업체 및 서비스,561020
BPYPM,Brookfield Property Preferred LP PRF,은행,551010
VWE,Vintage Wine Estates Inc,음료,541010
TALS,Talaris Therapeutics Inc,생명과학 및 메디컬 리서치,562020
HMPT,Home Point Capital Inc,은행,551010
PTSI,PAM Transportation Services Inc,화물 및 물류 서비스,524050
KVSC,Khosla Ventures Acquisition III Co Class A,기타 금융업,556010
TRST,TrustCo Bank Corp N Y,은행,551010
CATC,Cambridge Bancorp,은행,551010
PGC,Peapack-Gladstone Financial Corp,은행,551010
