CD,NM,ROE,PER,PBR,PROFIT,INCOME,FRGN_RT,END_PRC,VOL,REMAIN_DEAL,PRC_MEDIAN,VOL_MEDIAN,LAST_FRGN_RT,LAST_END_PRC,LAST_PRC_AVG_5,LAST_PRC_AVG_10,VS_START_PRC,VS_HIGH_PRC,VS_HIGHEST_PRC,VS_LOW_PRC,VS_LOWEST_PRC,LAST_VOL,LAST_REMAIN_GAP_BUY,RISING_ROE,ROE_AVG,RISING_PROFIT,RISING_FRGN_RT,RISING_REMAIN_DEAL,PRC_BASE,VOL_BASE,REMAIN_GAP_BUY_BASE
A298540,더네이쳐홀딩스,"[35.28, 32.1, 30.41]","[0.0, 6.88, 7.38]","[1.76, 1.96]","[545, 689]","[383, 583]","[14.57, 14.55, 14.51, 14.26, 14.21]","[31900, 32700, 33400, 33050, 33450]","[98445, 78593, 141372, 114248, 88736]","[0.0, 0.0, 0.0, 0.0, -98.0]",32550,87503,14.21,33450,32900,32580,98.8,100.75,98.06,78.92,243.35,88736,-98.0,N,32.6,Y,N,Y,N,Y,N
A192080,더블유게임즈,"[19.02, 18.93, 16.94, 17.02]","[12.28, 8.25, 9.82, 7.14]","[1.94, 1.3, 1.51, 1.0]","[1358, 1546, 1942, 1993]","[878, 1103, 1248, 1620]","[10.22, 10.19, 10.19, 10.18, 10.12]","[51400, 51400, 51300, 51600, 51500]","[36218, 24312, 30112, 35727, 44967]","[0.0, 0.0, 0.0, 0.0, 208.0]",50800,44398,10.12,51500,51440,51180,100.39,101.55,99.81,92.43,167.77,44967,208.0,N,17.98,Y,N,Y,N,Y,Y
A299170,더블유에스아이,"[84.11, 0.0, -8.81, 17.19]","[0.0, 0.0, -59.53, 15.64]","[0.0, 0.0, 4.04, 2.52]","[52, 46, 56, 65]","[40, 35, -16, 47]","[0.03, 0.03, 0.03, 0.02, 0.02]","[2530, 2570, 2540, 2480, 2520]","[44544, 40370, 111848, 48427, 19474]","[0.0, 0.0, 0.0, 0.0, -9.0]",2490,28038,0.02,2520,2528,2509,98.41,100.2,98.41,90.67,141.27,19474,-9.0,N,23.12,N,N,Y,N,N,N
A145720,덴티움,"[19.25, 7.37, 10.34, 19.32]","[18.58, 40.28, 20.18, 12.85]","[2.55, 2.24, 1.55, 1.76]","[420, 447, 396, 601]","[343, 137, 222, 494]","[17.81, 17.81, 17.75, 17.66, 17.58]","[72500, 72300, 71800, 71800, 75800]","[93776, 67757, 66717, 47611, 228886]","[0.0, 0.0, 0.0, 0.0, -526.0]",71450,188434,17.58,75800,72840,71870,95.65,100.79,94.99,68.73,121.9,228886,-526.0,N,14.07,N,N,Y,N,Y,N
A001230,동국제강,"[-3.63, 3.35, 23.41]","[-8.29, 11.9, 2.76]","[0.3, 0.37, 0.56]","[1646, 2947, 8030]","[-817, 695, 5586]","[22.45, 22.5, 22.58, 22.57, 22.44]","[17050, 17250, 18100, 17900, 17250]","[480155, 661428, 4814536, 1352962, 1060969]","[0.0, 0.0, 0.0, 0.0, 617.0]",16825,554776,22.44,17250,17510,17150,103.48,103.77,99.71,65.8,161.45,1060969,617.0,Y,7.71,Y,N,Y,N,Y,Y
A005965,동부건설우,"[15.29, 10.1, 22.97]","[3.05, 6.87, 2.86]","[0.45, 0.68, 0.6]","[555, 482, 613]","[598, 443, 1165]","[18.65, 18.65, 18.65, 18.65, 18.65]","[29700, 29900, 29850, 29900, 30000]","[4995, 3775, 2182, 4007, 2501]","[0.0, 0.0, 0.0, 0.0, 17.0]",30375,5658,18.65,30000,29870,30175,101.67,101.67,99.33,76.5,301.0,2501,17.0,N,16.12,N,Y,Y,Y,N,Y
A005960,동부건설,"[15.29, 10.1, 22.97]","[3.05, 6.87, 2.86]","[0.45, 0.68, 0.6]","[555, 482, 613]","[598, 443, 1165]","[1.64, 1.61, 1.63, 1.63, 1.64]","[14200, 14250, 14300, 14150, 14100]","[66569, 57313, 65627, 61418, 44759]","[0.0, 0.0, 0.0, 0.0, -29.0]",14150,64982,1.64,14100,14200,14260,101.06,101.42,99.65,87.59,112.77,44759,-29.0,N,16.12,N,N,Y,Y,N,N
A005290,동진쎄미켐,"[17.78, 21.58, 20.92]","[14.71, 22.01, 25.39]","[2.42, 4.33, 4.74]","[1049, 1263, 1318]","[587, 853, 1029]","[7.34, 7.36, 7.37, 7.23, 7.07]","[37700, 37700, 38600, 39500, 40350]","[1676617, 791362, 1103553, 1200567, 1558097]","[0.0, 0.0, 0.0, 0.0, 1022.0]",33550,679816,7.07,40350,38770,36015,99.26,101.49,98.27,61.96,129.12,1558097,1022.0,N,20.09,Y,N,Y,N,Y,Y
A000155,두산우,"[-5.21, 23.52, -34.34, 16.52]","[-23.33, 3.86, -2.03, 7.27]","[1.09, 0.8, 0.56, 0.93]","[11764, 12286, 2750, 11193]","[-3405, 4331, -9639, 6168]","[14.54, 14.59, 14.63, 14.71, 14.84]","[85000, 86000, 88100, 85400, 83700]","[4653, 5086, 7867, 20369, 5889]","[0.0, 0.0, 0.0, 0.0, -25.0]",85100,7922,14.84,83700,85640,85570,102.03,103.46,99.4,46.48,108.84,5889,-25.0,N,0.12,N,Y,Y,Y,N,N
A000157,두산2우B,"[-5.21, 23.52, -34.34, 16.52]","[-23.33, 3.86, -2.03, 7.27]","[1.09, 0.8, 0.56, 0.93]","[11764, 12286, 2750, 11193]","[-3405, 4331, -9639, 6168]","[0.07, 0.08, 0.05, 0.05, 0.03]","[134500, 134500, 146000, 142500, 143000]","[8300, 15657, 95258, 44709, 15840]","[0.0, 0.0, 0.0, 0.0, -4.0]",147500,12151,0.03,143000,140100,145650,100.7,104.9,96.85,39.37,164.34,15840,-4.0,N,0.12,N,N,Y,Y,Y,N
