DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,VOL_AVG_5,PRC_AVG_10,VOL_AVG_10,PRC_MEDIAN,VOL_MEDIAN,REMAIN_SELL,REMAIN_BUY,REMAIN_BUY_AMOUNT,DAY_SUMMARY
2022-04-07,A007280,한국특강,0.27,3425,19691109,3265,3994470,3262,2066502,3237,105316,44541,49746,32.0,"{'시가': '3260', '고가': '3900', '저가': '3260', '52주 최저': '2245', '52주 최고': '4780'}"
2022-04-07,A014790,한라,2.02,5480,180482,5688,138631,5787,200629,5820,166688,5663,10874,33.0,"{'시가': '5670', '고가': '5720', '저가': '5450', '52주 최저': '4750', '52주 최고': '7350'}"
2022-04-07,A042700,한미반도체,5.87,17000,299817,27770,173347,31250,228378,34850,250117,35255,43887,93.0,"{'시가': '16600', '고가': '17150', '저가': '16400', '52주 최저': '16800', '52주 최고': '41350'}"
2022-04-07,A105630,한세실업,5.18,27850,416581,27980,448828,27260,462736,26900,437676,14819,8987,-75.0,"{'시가': '27400', '고가': '28000', '저가': '26950', '52주 최저': '18900', '52주 최고': '29500'}"
2022-04-07,A009180,한솔로지스틱스,2.52,4095,3723461,4223,6087732,4057,8520062,4165,3701864,9400,25463,20.0,"{'시가': '4115', '고가': '4300', '저가': '4035', '52주 최저': '3110', '52주 최고': '5750'}"
2022-04-07,A014680,한솔케미칼,38.44,231000,44688,235800,58295,236100,64290,235500,52334,2940,5603,768.0,"{'시가': '232000', '고가': '236000', '저가': '230000', '52주 최저': '193000', '52주 최고': '392000'}"
2022-04-07,A078350,한양디지텍,7.7,17250,251612,16970,191541,17200,236966,17125,244171,23292,5445,-89.0,"{'시가': '16400', '고가': '17500', '저가': '16200', '52주 최저': '5550', '52주 최고': '19650'}"
2022-04-07,A001755,한양증권우,0.14,18700,4317,19500,1358,19545,1291,19500,513,1338,2378,13.0,"{'시가': '19850', '고가': '19850', '저가': '18650', '52주 최저': '16400', '52주 최고': '32100'}"
2022-04-07,A001750,한양증권,8.6,14200,13410,14280,14428,14240,13800,14250,13671,4521,14588,130.0,"{'시가': '14200', '고가': '14250', '저가': '14050', '52주 최저': '12650', '52주 최고': '20000'}"
2022-04-07,A002220,한일철강,1.92,4040,66959,4069,123328,4038,167805,4040,146673,5228,24718,49.0,"{'시가': '4115', '고가': '4155', '저가': '4035', '52주 최저': '2495', '52주 최고': '4700'}"
2022-04-07,A007770,한일화학,4.69,21650,185260,22550,409120,20800,216745,20500,111648,2967,7722,31.0,"{'시가': '21950', '고가': '23350', '저가': '21200', '52주 최저': '13750', '52주 최고': '26500'}"
2022-04-07,A000885,한화우,0.08,39300,725,39630,1140,39185,1213,39350,1148,165,267,1.0,"{'시가': '39350', '고가': '39350', '저가': '39100', '52주 최저': '32400', '52주 최고': '62800'}"
2022-04-07,A00088K,한화3우B,11.82,15650,19179,15780,21909,15755,22748,15750,20317,23212,15199,-94.0,"{'시가': '15800', '고가': '15800', '저가': '15650', '52주 최저': '14300', '52주 최고': '17050'}"
2022-04-07,A000880,한화,16.26,30500,159501,31180,129130,31235,147102,31325,140621,14720,24098,299.0,"{'시가': '30900', '고가': '30900', '저가': '30450', '52주 최저': '27700', '52주 최고': '37300'}"
2022-04-07,A195870,해성디에스,6.49,51300,196201,51140,142518,52110,160277,51900,159684,12833,11644,75.0,"{'시가': '50300', '고가': '52300', '저가': '49900', '52주 최저': '31500', '52주 최고': '59500'}"
2022-04-07,A042670,현대두산인프라코어,9.45,6240,1125514,6450,1000287,6554,906461,6590,903498,17255,103393,437.0,"{'시가': '6340', '고가': '6370', '저가': '6220', '52주 최저': '5740', '52주 최고': '19350'}"
2022-04-07,A004565,현대비앤지스틸우,0.59,74700,5761,70760,1939,69720,1424,69600,990,450,412,-10.0,"{'시가': '71500', '고가': '75000', '저가': '71500', '52주 최저': '61300', '52주 최고': '143500'}"
2022-04-07,A004560,현대비앤지스틸,3.9,16600,68551,16900,67770,17065,108406,17025,102464,12211,22260,232.0,"{'시가': '16750', '고가': '16950', '저가': '16600', '52주 최저': '13850', '52주 최고': '27700'}"
2022-04-07,A090850,현대이지웰,25.82,10750,85087,10570,126594,10162,99735,10155,92974,46522,6053,-359.0,"{'시가': '10700', '고가': '10750', '저가': '10400', '52주 최저': '9220', '52주 최고': '13350'}"
2022-04-07,A064240,홈캐스트,4.81,3385,47719,3455,98552,3385,74515,3377,57422,1742,14528,-1.0,"{'시가': '3435', '고가': '3435', '저가': '3345', '52주 최저': '2775', '52주 최고': '5200'}"
2022-04-07,A004800,효성,6.94,83600,47376,84900,37813,85250,39744,85400,42608,1454,7737,335.0,"{'시가': '84100', '고가': '84300', '저가': '83400', '52주 최저': '77500', '52주 최고': '128500'}"
2022-04-07,A094280,효성ITX,0.51,18150,23542,17840,12331,17905,14250,17850,15677,8092,11223,54.0,"{'시가': '17750', '고가': '18200', '저가': '17750', '52주 최저': '16450', '52주 최고': '25000'}"
2022-04-07,A298050,효성첨단소재,7.22,514000,35011,520800,54960,502850,47793,516000,35368,1200,3786,624.0,"{'시가': '515000', '고가': '526000', '저가': '507000', '52주 최저': '350000', '52주 최고': '877000'}"
2022-04-07,A298020,효성티앤씨,10.65,435000,26792,452200,35339,449850,37958,446250,33927,1369,3059,107.0,"{'시가': '440500', '고가': '442000', '저가': '433000', '52주 최저': '400500', '52주 최고': '963000'}"
2022-04-07,A298000,효성화학,7.29,249500,12401,258500,18464,258900,17603,258750,16693,432,3815,232.0,"{'시가': '247500', '고가': '252000', '저가': '247000', '52주 최저': '226000', '52주 최고': '475000'}"
2022-04-07,A081660,휠라홀딩스,40.06,31500,421315,31900,366147,31645,365906,31475,343709,23527,28479,95.0,"{'시가': '31850', '고가': '31850', '저가': '31100', '52주 최저': '28000', '52주 최고': '59800'}"
2022-04-07,A290270,휴네시온,2.03,5880,39896,5962,66863,5874,56610,5830,49866,4476,5415,-4.0,"{'시가': '6050', '고가': '6050', '저가': '5840', '52주 최저': '5190', '52주 최고': '9970'}"
2022-04-07,A205470,휴마시스,4.84,16500,914836,17240,910953,17890,1178374,17850,1018245,33194,60589,566.0,"{'시가': '16850', '고가': '17050', '저가': '16450', '52주 최저': '8920', '52주 최고': '36450'}"
2022-04-07,A003280,흥아해운,0.74,2945,956747,2985,3102125,2903,2934057,2872,868429,59281,229504,422.0,"{'시가': '3070', '고가': '3075', '저가': '2940', '52주 최저': '1555', '52주 최고': '7400'}"
2022-04-06,A098120,마이크로컨텍솔,14.86,10500,141332,10790,122727,10945,102001,11025,77339,30044,17068,-55.0,"{'시가': '10550', '고가': '11000', '저가': '10350', '52주 최저': '5300', '52주 최고': '15650'}"
2022-04-06,A095570,AJ네트웍스,4.94,6430,156350,6506,609216,6309,374731,6185,152923,5870,24356,56.0,"{'시가': '6450', '고가': '6490', '저가': '6300', '52주 최저': '4770', '52주 최고': '7320'}"
2022-04-06,A282330,BGF리테일,30.79,179500,24951,178500,30091,177600,32500,179250,33212,5879,3183,-233.0,"{'시가': '180000', '고가': '180500', '저가': '177500', '52주 최저': '136500', '52주 최고': '193000'}"
2022-04-06,A000995,DB하이텍1우,1.07,101000,232,99940,401,98250,462,99000,297,1002,36,-33.0,"{'시가': '102500', '고가': '102500', '저가': '100000', '52주 최저': '90000', '52주 최고': '143000'}"
2022-04-06,A000990,DB하이텍,24.7,70300,1133899,72860,779948,74690,741927,75450,717294,39064,171766,6553.0,"{'시가': '71800', '고가': '71800', '저가': '70100', '52주 최저': '49200', '52주 최고': '85400'}"
2022-04-06,A000215,DL우,7.18,40450,3889,40030,2960,39250,2712,39300,2690,949,515,-26.0,"{'시가': '40450', '고가': '40550', '저가': '40150', '52주 최저': '32950', '52주 최고': '63200'}"
2022-04-06,A001880,DL건설,2.19,28450,14545,28830,21736,29260,23217,29325,23404,3249,5822,25.0,"{'시가': '28550', '고가': '28700', '저가': '28250', '52주 최저': '24350', '52주 최고': '38500'}"
2022-04-06,A000210,DL,11.96,61200,52425,61400,53446,60410,67592,60600,61461,2285,6491,273.0,"{'시가': '61500', '고가': '62600', '저가': '61100', '52주 최저': '53900', '52주 최고': '107000'}"
2022-04-06,A007700,F&F홀딩스,0.76,28000,21634,27790,37870,27390,41921,27475,30877,4278,6294,-7.0,"{'시가': '28150', '고가': '28200', '저가': '27800', '52주 최저': '23850', '52주 최고': '180500'}"
2022-04-06,A078935,GS우,9.68,36100,3227,35920,4931,35460,4148,35350,3617,3723,1697,-5.0,"{'시가': '36150', '고가': '36400', '저가': '35950', '52주 최저': '32500', '52주 최고': '42750'}"
2022-04-06,A078930,GS,19.1,44600,208539,44390,285761,43185,319229,43475,240010,41105,5604,-579.0,"{'시가': '44150', '고가': '44750', '저가': '43750', '52주 최저': '37000', '52주 최고': '50300'}"
2022-04-06,A016380,KG동부제철,0.98,12600,837117,11410,283594,11300,258297,11150,157586,27122,44077,216.0,"{'시가': '10950', '고가': '12600', '저가': '10900', '52주 최저': '9200', '52주 최고': '25150'}"
2022-04-06,A051905,LG생활건강우,83.49,510000,3452,512000,3998,513000,3588,513500,3272,608,357,-135.0,"{'시가': '512000', '고가': '516000', '저가': '508000', '52주 최저': '476000', '52주 최고': '807000'}"
2022-04-06,A051900,LG생활건강,40.73,895000,38001,892400,53778,875100,52100,866000,46683,2158,3325,967.0,"{'시가': '900000', '고가': '919000', '저가': '893000', '52주 최저': '825000', '52주 최고': '1784000'}"
2022-04-06,A011070,LG이노텍,25.71,374500,192004,381800,228304,388750,276187,387000,252001,7351,27932,3472.0,"{'시가': '373000', '고가': '380500', '저가': '372000', '52주 최저': '181000', '52주 최고': '414500'}"
2022-04-06,A051915,LG화학우,71.57,267500,7229,268700,14657,268100,16444,267750,17076,1316,158,-308.0,"{'시가': '264000', '고가': '267500', '저가': '261500', '52주 최저': '239500', '52주 최고': '455000'}"
2022-04-06,A051910,LG화학,48.55,530000,124651,530200,162922,527900,216774,526000,181176,10544,14190,2038.0,"{'시가': '536000', '고가': '539000', '저가': '529000', '52주 최저': '437000', '52주 최고': '965000'}"
2022-04-06,A001120,LX인터내셔널,25.51,35300,754533,34630,452044,34305,432337,34300,365127,20174,23298,122.0,"{'시가': '34500', '고가': '36200', '저가': '34450', '52주 최저': '22300', '52주 최고': '38150'}"
2022-04-06,A035420,NAVER,54.7,330000,640819,337300,437701,336400,441027,336750,437025,22583,52621,6909.0,"{'시가': '336500', '고가': '338000', '저가': '329000', '52주 최저': '297000', '52주 최고': '465000'}"
2022-04-06,A008260,NI스틸,5.46,5210,206471,5182,159698,5117,416780,5120,199057,29379,19208,-28.0,"{'시가': '5260', '고가': '5300', '저가': '5150', '52주 최저': '2960', '52주 최고': '6650'}"
2022-04-06,A010060,OCI,14.08,106000,135666,105800,158255,106700,275764,105750,190839,48910,42854,960.0,"{'시가': '106000', '고가': '107500', '저가': '105500', '52주 최저': '84100', '52주 최고': '169000'}"
2022-04-06,A010955,S-Oil우,14.43,58400,10261,57360,16169,56330,16910,56150,14007,3668,2189,-141.0,"{'시가': '57400', '고가': '58500', '저가': '57200', '52주 최저': '43750', '52주 최고': '66200'}"
2022-04-06,A010950,S-Oil,79.06,100000,318137,99180,480986,97120,560810,97850,494194,71975,12296,-4052.0,"{'시가': '99200', '고가': '100500', '저가': '97700', '52주 최저': '77200', '52주 최고': '117500'}"
2022-04-06,A950110,SBI핀테크솔루션즈,80.13,6520,23068,6726,37975,6897,25620,6990,17797,3125,4320,14.0,"{'시가': '6690', '고가': '6690', '저가': '6500', '52주 최저': '6200', '52주 최고': '11500'}"
2022-04-06,A001770,SHD,2.02,34000,6859,33340,14856,32485,12443,31975,11037,911,70,-3.0,"{'시가': '34000', '고가': '34550', '저가': '33100', '52주 최저': '22650', '52주 최고': '43350'}"
2022-04-06,A009160,SIMPAC,7.63,8680,366975,8418,290858,8352,257265,8295,206961,10291,17731,-30.0,"{'시가': '8530', '고가': '8810', '저가': '8450', '52주 최저': '3410', '52주 최고': '9870'}"
2022-04-06,A210980,SK디앤디,5.02,29800,11835,30150,14057,30345,11754,30400,12071,1980,4108,54.0,"{'시가': '30100', '고가': '30300', '저가': '29750', '52주 최저': '25800', '52주 최고': '39700'}"
2022-04-06,A002710,TCC스틸,0.97,10550,342033,10750,402706,10705,589031,10725,518410,134740,107634,435.0,"{'시가': '10450', '고가': '10750', '저가': '10450', '52주 최저': '4445', '52주 최고': '13650'}"
